"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Canis lupus","Gray wolf","U.S.A.: All of AL, AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, and WV; and portions of AZ, NM, OR, UT, and WA. Mexico.","6","Endangered","Mammals"
"Empidonax traillii extimus","Southwestern willow flycatcher","Wherever found","2","Endangered","Birds"
"Rhinichthys osculus lethoporus","Independence Valley speckled dace","Wherever found","8","Endangered","Fishes"
"Cottus specus","Grotto Sculpin","Wherever found","3","Endangered","Fishes"
"Leptonycteris nivalis","Mexican long-nosed bat","Wherever found","2","Endangered","Mammals"
"Chilabothrus granti","Virgin Islands tree boa","Wherever found","4","Endangered","Reptiles"
"Graptemys gibbonsi","Pascagoula map turtle","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Plethodon shenandoah","Shenandoah salamander","Wherever found","5","Endangered","Amphibians"
"Emballonura semicaudata rotensis","Pacific sheath-tailed Bat","Wherever found","1","Endangered","Mammals"
"Eurycea waterlooensis","Austin blind Salamander","Wherever found","2","Endangered","Amphibians"
"Etheostoma chienense","Relict darter","Wherever found","4","Threatened","Fishes"
"Etheostoma wapiti","Boulder darter","Wherever found","4","Endangered","Fishes"
"Erimystax cahni","Slender chub","U.S.A. (TN - specified portions of the French Broad and Holston  Rivers; see 17.84(s)(1)(i))","4","Experimental Population, Non-Essential","Fishes"
"Hypomesus transpacificus","Delta smelt","Wherever found","8","Threatened","Fishes"
"Noturus flavipinnis","Yellowfin madtom","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(e)(1)(iii))","4","Experimental Population, Non-Essential","Fishes"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Eleutherodactylus cooki","Guajon","Wherever found","4","Threatened","Amphibians"
"Enhydra lutris kenyoni","Northern Sea Otter","Southwest Alaska DPS","7","Threatened","Mammals"
"Gila robusta jordani","Pahranagat roundtail chub","Wherever found","8","Endangered","Fishes"
"Scaphirhynchus platorynchus","Shovelnose Sturgeon","Wherever found","6","Similarity of Appearance (Threatened)","Fishes"
"Brachyramphus marmoratus","Marbled Murrelet","U.S.A. (CA, OR, WA)","1","Threatened","Birds"
"Salvelinus confluentus","Bull Trout","Clackamas River subbasin experimental population","1","Experimental Population, Non-Essential","Fishes"
"Peromyscus polionotus allophrys","Choctawhatchee beach mouse","Wherever found","4","Endangered","Mammals"
"Catostomus discobolus yarrowi","Zuni bluehead Sucker","Wherever found","2","Endangered","Fishes"
"Etheostoma sellare","Maryland darter","Wherever found","5","Endangered","Fishes"
"Todiramphus cinnamominus","Guam kingfisher","Wherever found","1","Endangered","Birds"
"Puma yagouaroundi cacomitli","Gulf Coast jaguarundi","Wherever found","2","Endangered","Mammals"
"Cyprinodon radiosus","Owens pupfish","Wherever found","8","Endangered","Fishes"
"Rallus obsoletus yumanensis","Yuma Ridgway's rail","Wherever found","2","Endangered","Birds"
"Corvus hawaiiensis","Hawaiian crow","Wherever found","1","Endangered","Birds"
"Canis lupus baileyi","Mexican wolf","U.S.A. (portions of AZ and NM)see 17.84(k)","2","Experimental Population, Non-Essential","Mammals"
"Amblyopsis rosae","Ozark cavefish","Wherever found","4","Threatened","Fishes"
"Rallus obsoletus levipes","Light-footed Ridgway's rail","Wherever found","8","Endangered","Birds"
"Salmo salar","Atlantic salmon","Gulf of Maine DPS","5","Endangered","Fishes"
"Perognathus longimembris pacificus","Pacific pocket mouse","Wherever found","8","Endangered","Mammals"
"Sternula antillarum browni","California least tern","Wherever found","8","Endangered","Birds"
"Psittirostra psittacea","`O`u (honeycreeper)","Wherever found","1","Endangered","Birds"
"Chelonia mydas","Green sea turtle","North Atlantic DPS","4","Threatened","Reptiles"
"Etheostoma moorei","Yellowcheek Darter","Wherever found","4","Endangered","Fishes"
"Gila cypha","Humpback chub","Wherever found","6","Threatened","Fishes"
"Zapus hudsonius preblei","Preble's meadow jumping mouse","wherever found","6","Threatened","Mammals"
"Crocodylus acutus","American crocodile","U.S.A. (FL)","4","Threatened","Reptiles"
"Grus americana","Whooping crane","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Menidia extensa","Waccamaw silverside","Wherever found","4","Threatened","Fishes"
"Rhinichthys osculus oligoporus","Clover Valley speckled dace","Wherever found","8","Endangered","Fishes"
"Plethodon nettingi","Cheat Mountain salamander","Wherever found","5","Threatened","Amphibians"
"Peromyscus polionotus phasma","Anastasia Island beach mouse","Wherever found","4","Endangered","Mammals"
"Scaphirhynchus albus","Pallid sturgeon","Wherever found","6","Endangered","Fishes"
"Corynorhinus (=Plecotus) townsendii virginianus","Virginia big-eared bat","Wherever found","5","Endangered","Mammals"
"Zosterops rotensis","Rota bridled white-eye","Wherever found","1","Endangered","Birds"
"Pekania pennanti","Fisher","SSN DPS","8","Endangered","Mammals"
"Eurycea rathbuni","Texas blind salamander","Wherever found","2","Endangered","Amphibians"
"Noturus furiosus","Carolina madtom","Wherever found","4","Endangered","Fishes"
"Mustela nigripes","Black-footed ferret","[Conata Basin/Badlands Reintroduction Area NEP] - U.S.A. (parts of SD)","6","Experimental Population, Non-Essential","Mammals"
"Lagopus leucura rainierensis","Mt. Rainier white-tailed ptarmigan","Wherever found","1","Threatened","Birds"
"Loxops coccineus","Hawaii akepa","Wherever found","1","Endangered","Birds"
"Lynx canadensis","Canada Lynx","Wherever Found in Contiguous U.S.","6","Threatened","Mammals"
"Setophaga chrysoparia","golden-cheeked warbler","Wherever found","2","Endangered","Birds"
"Accipiter striatus venator","Puerto Rican sharp-shinned hawk","Wherever found","4","Endangered","Birds"
"Tiaroga cobitis","Loach minnow","Wherever found","2","Endangered","Fishes"
"Gymnomyza samoensis","Mao (= maomao) (honeyeater)","Wherever found","1","Endangered","Birds"
"Etheostoma scotti","Cherokee darter","Wherever found","4","Threatened","Fishes"
"Ambystoma californiense","California tiger Salamander","U.S.A. (CA - Sonoma County)","8","Endangered","Amphibians"
"Tamiasciurus fremonti grahamensis","Mount Graham red squirrel","Wherever found","2","Endangered","Mammals"
"Graptemys pearlensis","Pearl River Map Turtle","","4","Threatened","Reptiles"
"Glyptemys muhlenbergii","bog turtle","U.S.A. (GA, NC, SC, TN, VA)","4","Similarity of Appearance (Threatened)","Reptiles"
"Canis rufus","Red wolf","U.S.A. (portions of NC and TN)","4","Experimental Population, Non-Essential","Mammals"
"Cottus paulus (=pygmaeus)","Pygmy Sculpin","Wherever found","4","Threatened","Fishes"
"Noturus munitus","Frecklebelly madtom","Upper Coosa River DPS","4","Threatened","Fishes"
"Glaucomys sabrinus coloratus","Carolina northern flying squirrel","Wherever found","4","Endangered","Mammals"
"Ursus arctos horribilis","Grizzly bear","North Cascades Ecosystem Non-Essential Experimental Population","1","Experimental Population, Non-Essential","Mammals"
"Telespiza ultima","Nihoa finch","Wherever found","1","Endangered","Birds"
"Crotalus willardi obscurus","New Mexican ridge-nosed rattlesnake","Wherever found","2","Threatened","Reptiles"
"Anas laysanensis","Laysan duck","Wherever found","1","Endangered","Birds"
"Gopherus agassizii","Desert tortoise","Wherever found, except AZ south and east of Colorado R., and Mexico","8","Threatened","Reptiles"
"Campephilus principalis","Ivory-billed woodpecker","Wherever found","4","Endangered","Birds"
"Rana boylii","Foothill yellow-legged frog","South Sierra Distinct Population Segment (South Sierra DPS)","8","Endangered","Amphibians"
"Chelonia mydas","Green sea turtle","Central North Pacific DPS","1","Threatened","Reptiles"
"Rhinichthys osculus nevadensis","Ash Meadows speckled dace","Wherever found","8","Endangered","Fishes"
"Necturus lewisi","Neuse River waterdog","Wherever found","4","Threatened","Amphibians"
"Gallinula chloropus guami","Mariana common moorhen (pulattat)","Wherever found","1","Endangered","Birds"
"Drepanis coccinea","`I`iwi","Wherever found","1","Threatened","Birds"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Oryzomys palustris natator","Silver rice rat","lower FL Keys","4","Endangered","Mammals"
"Odocoileus virginianus clavium","Key deer","Wherever found","4","Endangered","Mammals"
"Gopherus agassizii","Desert tortoise","AZ south and east of Colorado R., and Mexico, when found outside of Mexico or said range in AZ","8","Similarity of Appearance (Threatened)","Reptiles"
"Drymarchon couperi","Eastern indigo snake","Wherever found","4","Threatened","Reptiles"
"Gila elegans","Bonytail","Wherever found","6","Endangered","Fishes"
"Canis rufus","Red wolf","Wherever found, except where listed as an experimental population","4","Endangered","Mammals"
"Cryptobranchus alleganiensis bishopi","Ozark Hellbender","Wherever found","3","Endangered","Amphibians"
"Dipodomys nitratoides nitratoides","Tipton kangaroo rat","Wherever found","8","Endangered","Mammals"
"Emballonura semicaudata semicaudata","Pacific sheath-tailed Bat","American Samoa","1","Endangered","Mammals"
"Speoplatyrhinus poulsoni","Alabama cavefish","Wherever found","4","Endangered","Fishes"
"Enhydra lutris nereis","Southern sea otter","Wherever found","8","Threatened","Mammals"
"Notropis topeka (=tristis)","Topeka shiner","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Sylvilagus palustris hefneri","Lower Keys marsh rabbit","Wherever found","4","Endangered","Mammals"
"Gymnogyps californianus","California condor","Pacific Northwest NEP","8","Experimental Population, Non-Essential","Birds"
"Mustela nigripes","Black-footed ferret","U.S.A. (WY and specified portions of AZ, CO, MT, SD, and UT, see 17.84(g)(9))","6","Experimental Population, Non-Essential","Mammals"
"Aplodontia rufa nigra","Point Arena mountain beaver","Wherever found","8","Endangered","Mammals"
"Eurycea chisholmensis","Salado Salamander","Wherever found","2","Threatened","Amphibians"
"Dipodomys stephensi (incl. D. cascus)","Stephens' kangaroo rat","Wherever found","8","Threatened","Mammals"
"Elassoma alabamae","Spring pygmy sunfish","Wherever found","4","Threatened","Fishes"
"Uma inornata","Coachella Valley fringe-toed lizard","Wherever found","8","Threatened","Reptiles"
"Noturus flavipinnis","Yellowfin madtom","U.S.A. (TN-specified portions of the Tellico River; see 17.84(e)(1)(ii))","4","Experimental Population, Non-Essential","Fishes"
"Noturus crypticus","Chucky Madtom","Wherever found","4","Endangered","Fishes"
"Gila seminuda (=robusta)","Virgin River Chub","Wherever found","6","Endangered","Fishes"
"Martes caurina","Pacific marten, Coastal DPS","Wherever found","8","Threatened","Mammals"
"Rana pretiosa","Oregon spotted frog","Wherever found","1","Threatened","Amphibians"
"Tympanuchus pallidicinctus","Lesser prairie-chicken","Southern DPS","2","Endangered","Birds"
"Vireo bellii pusillus","Least Bell's vireo","Wherever found","8","Endangered","Birds"
"Phoebastria (=Diomedea) albatrus","Short-tailed albatross","Wherever found","7","Endangered","Birds"
"Etheostoma boschungi","Slackwater darter","Wherever found","4","Threatened","Fishes"
"Rallus obsoletus obsoletus","California Ridgway's rail","Wherever found","8","Endangered","Birds"
"Noturus placidus","Neosho madtom","Wherever found","6","Threatened","Fishes"
"Pituophis melanoleucus lodingi","Black pinesnake","Wherever found","4","Threatened","Reptiles"
"Todiramphus cinnamominus","Guam kingfisher","","1","Experimental Population, Non-Essential","Birds"
"Moapa coriacea","Moapa dace","Wherever found","8","Endangered","Fishes"
"Etheostoma percnurum","Duskytail darter","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(q)(1)(ii))","4","Experimental Population, Non-Essential","Fishes"
"Gymnogyps californianus","California condor","Wherever found, except where listed as an experimental population","8","Endangered","Birds"
"Thomomys mazama yelmensis","Yelm pocket gopher","Wherever found","1","Threatened","Mammals"
"Calidris canutus rufa","rufa red knot","Wherever found","5","Threatened","Birds"
"Cryptobranchus alleganiensis alleganiensis","Eastern Hellbender","Missouri DPS","3","Endangered","Amphibians"
"Branta (=Nesochen) sandvicensis","Hawaiian goose","Wherever found","1","Threatened","Birds"
"Acrocephalus luscinia","Nightingale reed warbler (old world warbler)","Wherever found","1","Endangered","Birds"
"Crenichthys baileyi grandis","Hiko White River springfish","Wherever found","8","Endangered","Fishes"
"Gallicolumba stairi","Friendly Ground-Dove","American Samoa DPS","1","Endangered","Birds"
"Deltistes luxatus","Lost River sucker","Wherever found","8","Endangered","Fishes"
"Noturus baileyi","Smoky madtom","Tellico River, TN","4","Experimental Population, Non-Essential","Fishes"
"Peromyscus polionotus peninsularis","St. Andrew beach mouse","Wherever found","4","Endangered","Mammals"
"Gambusia gaigei","Big Bend gambusia","Wherever found","2","Endangered","Fishes"
"Notropis cahabae","Cahaba shiner","Wherever found","4","Endangered","Fishes"
"Chasmistes brevirostris","shortnose sucker","Wherever found","8","Endangered","Fishes"
"Polysticta stelleri","Steller's Eider","AK breeding pop.","7","Threatened","Birds"
"Gulo gulo luscus","North American wolverine","Wherever found","6","Threatened","Mammals"
"Erimonax monachus","Spotfin Chub","U.S.A. (TN-specified portions of the French Broad and Holston Rivers; see 17.84(m)(1)(iii))","4","Experimental Population, Non-Essential","Fishes"
"Cynomys parvidens","Utah prairie dog","Wherever found","6","Threatened","Mammals"
"Chelonia mydas","Green sea turtle","Central West Pacific DPS","1","Endangered","Reptiles"
"Sterna dougallii dougallii","Roseate tern","Western Hemisphere except NE U.S.","4","Threatened","Birds"
"Corynorhinus (=Plecotus) townsendii ingens","Ozark big-eared bat","Wherever found","2","Endangered","Mammals"
"Thomomys mazama glacialis","Roy Prairie pocket gopher","Wherever found","1","Threatened","Mammals"
"Lepidochelys olivacea","Olive ridley sea turtle","Breeding colony populations on Pacific coast of Mexico","4","Endangered","Reptiles"
"Cyprinodon elegans","Comanche Springs pupfish","Wherever found","2","Endangered","Fishes"
"Ptychocheilus lucius","Colorado pikeminnow","Salt and Verde R. drainages, AZ","6","Experimental Population, Non-Essential","Fishes"
"Notropis topeka (=tristis)","Topeka shiner","U.S.A. (MO-specified portions of Little Creek, Big Muddy Creek, and Spring Creek watersheds in Adair, Gentry, Harrison, Putnam, Sullivan, and Worth Counties; see 17.84(d)(1)(i))","3","Experimental Population, Non-Essential","Fishes"
"Leopardus (=Felis) pardalis","Ocelot","wherever found","2","Endangered","Mammals"
"Ambystoma californiense","California tiger Salamander","U.S.A. (Central CA DPS)","8","Threatened","Amphibians"
"Erimonax monachus","Spotfin Chub","U.S.A. (AL, TN-specified portions of Shoal Creek; see 17.84(m)(1)(ii))","4","Experimental Population, Non-Essential","Fishes"
"Chrosomus saylori","Laurel dace","Wherever found","4","Endangered","Fishes"
"Kinosternon sonoriense longifemorale","Sonoyta mud turtle","Wherever found","2","Endangered","Reptiles"
"Erimonax monachus","Spotfin Chub","Wherever found, except where listed as an experimental population","4","Threatened","Fishes"
"Graptemys ernsti","Escambia Map turtle","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Peltophryne lemur","Puerto Rican crested toad","Wherever found","4","Threatened","Amphibians"
"Rangifer tarandus ssp. caribou","Southern Mountain Caribou DPS","Southern Mountain DPS","1","Endangered","Mammals"
"Emoia slevini","Slevin's skink","Wherever found","1","Endangered","Reptiles"
"Antrostomus noctitherus","Puerto Rican nightjar","Wherever found","4","Endangered","Birds"
"Patagioenas inornata wetmorei","Puerto Rican plain Pigeon","Wherever found","4","Endangered","Birds"
"Centrocercus minimus","Gunnison Sage-grouse","Wherever found","6","Threatened","Birds"
"Peromyscus gossypinus allapaticola","Key Largo cotton mouse","Wherever found","4","Endangered","Mammals"
"Myadestes lanaiensis rutha","Molokai `oloma`o","Wherever found","1","Endangered","Birds"
"Cyprinodon diabolis","Devils Hole pupfish","Wherever found","8","Endangered","Fishes"
"Batrachoseps aridus","Desert slender salamander","Wherever found","8","Endangered","Amphibians"
"Ambystoma mavortium stebbinsi","Sonoran tiger salamander","Wherever found","2","Endangered","Amphibians"
"Mustela nigripes","Black-footed ferret","[Northcentral Montana Reintroduction Area NEP] - U.S.A. (parts of MT)","6","Experimental Population, Non-Essential","Mammals"
"Gambusia heterochir","Clear Creek gambusia","Wherever found","2","Endangered","Fishes"
"Graptemys oculifera","Ringed map turtle","Wherever found","4","Threatened","Reptiles"
"Puma (=Felis) concolor (all subsp. except coryi)","Puma (=mountain lion)","FL","4","Similarity of Appearance (Threatened)","Mammals"
"Lepidochelys olivacea","Olive ridley sea turtle","Wherever found, except when listed as endangered under 50 CFR 224.101","1","Threatened","Reptiles"
"Cyprinodon bovinus","Leon Springs pupfish","Wherever found","2","Endangered","Fishes"
"Melozone crissalis eremophilus","Inyo California towhee","Wherever found","8","Threatened","Birds"
"Plethodon neomexicanus","Jemez Mountains salamander","Wherever found","2","Endangered","Amphibians"
"Pterodroma cahow","Bermuda petrel","Wherever found","4","Endangered","Birds"
"Zapus hudsonius luteus","New Mexico meadow jumping mouse","Wherever found","2","Endangered","Mammals"
"Himantopus mexicanus knudseni","Hawaiian stilt","Wherever found","1","Endangered","Birds"
